title,author,rating,link,cover_url,genre,price,published_year
Infinite Jest,David Foster Wallace,4.25 avg rating,https://www.goodreads.com/book/show/6759.Infinite_Jest,,,,
"The Host (The Host, #1)",Stephenie Meyer,3.86 avg rating,https://www.goodreads.com/book/show/1656001.The_Host,,,,
"Pippi Longstocking (Pippi Långstrump, #1)",Astrid Lindgren,4.15 avg rating,https://www.goodreads.com/book/show/19302.Pippi_Longstocking,,,,
Death of a Salesman,Arthur Miller,3.59 avg rating,https://www.goodreads.com/book/show/12898.Death_of_a_Salesman,,,,
Carrie,Stephen        King,3.99 avg rating,https://www.goodreads.com/book/show/10592.Carrie,,,,
"Evermore (The Immortals, #1)",Alyson Noel,3.60 avg rating,https://www.goodreads.com/book/show/3975774-evermore,,,,
"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,4.30 avg rating,https://www.goodreads.com/book/show/13214.I_Know_Why_the_Caged_Bird_Sings,,,,
The Scarlet Pimpernel,Emmuska Orczy,4.07 avg rating,https://www.goodreads.com/book/show/136116.The_Scarlet_Pimpernel,,,,
Local Woman Missing,Mary Kubica,4.12 avg rating,https://www.goodreads.com/book/show/57361474-local-woman-missing,,,,
Jonathan Strange & Mr Norrell,Susanna Clarke,3.87 avg rating,https://www.goodreads.com/book/show/14201.Jonathan_Strange_Mr_Norrell,,,,
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson,really liked it 4.00 avg rating,https://www.goodreads.com/book/show/397483.The_Devil_in_the_White_City,,,,
"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,4.46 avg rating,https://www.goodreads.com/book/show/23766634-a-court-of-wings-and-ruin,,,,
"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,3.86 avg rating,https://www.goodreads.com/book/show/249747.Artemis_Fowl,,,,
Snow Flower and the Secret Fan,Lisa See,4.09 avg rating,https://www.goodreads.com/book/show/40873273-snow-flower-and-the-secret-fan,,,,
"Faust, First Part",Johann Wolfgang von Goethe,3.83 avg rating,https://www.goodreads.com/book/show/14706.Faust_First_Part,,,,
"The Raven Boys (The Raven Cycle, #1)",Maggie Stiefvater,4.05 avg rating,https://www.goodreads.com/book/show/17675462-the-raven-boys,,,,
Sharp Objects,Gillian Flynn,4.01 avg rating,https://www.goodreads.com/book/show/18045891-sharp-objects,,,,
Northanger Abbey,Jane Austen,3.85 avg rating,https://www.goodreads.com/book/show/50398.Northanger_Abbey,,,,
Night,Elie Wiesel,4.38 avg rating,https://www.goodreads.com/book/show/1617.Night,,,,
"Matched (Matched, #1)",Ally Condie,3.62 avg rating,https://www.goodreads.com/book/show/7735333-matched,,,,
"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins,3.96 avg rating,https://www.goodreads.com/book/show/6936382-anna-and-the-french-kiss,,,,
"The Angel Experiment (Maximum Ride, #1)",James  Patterson,4.07 avg rating,https://www.goodreads.com/book/show/13152.The_Angel_Experiment,,,,
Waiting for Godot,Samuel Beckett,3.84 avg rating,https://www.goodreads.com/book/show/17716.Waiting_for_Godot,,,,
The Haunting of Hill House,Shirley Jackson,3.81 avg rating,https://www.goodreads.com/book/show/89717.The_Haunting_of_Hill_House,,,,
High Fidelity,Nick Hornby,3.90 avg rating,https://www.goodreads.com/book/show/285092.High_Fidelity,,,,
To the Lighthouse,Virginia Woolf,3.81 avg rating,https://www.goodreads.com/book/show/59716.To_the_Lighthouse,,,,
"The Tales of Beedle the Bard (Hogwarts Library, #3)",J.K. Rowling,4.03 avg rating,https://www.goodreads.com/book/show/3950967-the-tales-of-beedle-the-bard,,,,
The Shipping News,Annie Proulx,3.88 avg rating,https://www.goodreads.com/book/show/7354.The_Shipping_News,,,,
The Goldfinch,Donna Tartt,3.96 avg rating,https://www.goodreads.com/book/show/17333223-the-goldfinch,,,,
Nineteen Minutes,Jodi Picoult,4.18 avg rating,https://www.goodreads.com/book/show/14866.Nineteen_Minutes,,,,
"The Chosen (Reuven Malter, #1)",Chaim Potok,4.07 avg rating,https://www.goodreads.com/book/show/187181.The_Chosen,,,,
Emma,Jane Austen,4.05 avg rating,https://www.goodreads.com/book/show/6969.Emma,,,,
"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis,4.09 avg rating,https://www.goodreads.com/book/show/140225.The_Voyage_of_the_Dawn_Treader,,,,
Shantaram,Gregory David Roberts,4.28 avg rating,https://www.goodreads.com/book/show/33600.Shantaram,,,,
"Neuromancer (Sprawl, #1)",William Gibson,3.89 avg rating,https://www.goodreads.com/book/show/6088007-neuromancer,,,,
Pet Sematary,Stephen        King,4.08 avg rating,https://www.goodreads.com/book/show/33124137-pet-sematary,,,,
"I, Robot (Robot, #0.1)",Isaac Asimov,4.21 avg rating,https://www.goodreads.com/book/show/41804.I_Robot,,,,
Houdini Heart,Ki Longfellow,3.84 avg rating,https://www.goodreads.com/book/show/11324204-houdini-heart,,,,
Redeeming Love,Francine  Rivers,4.51 avg rating,https://www.goodreads.com/book/show/11422.Redeeming_Love,,,,
"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,4.58 avg rating,https://www.goodreads.com/book/show/838729.The_Return_of_the_King,,,,
A Christmas Carol,Charles Dickens,4.09 avg rating,https://www.goodreads.com/book/show/5326.A_Christmas_Carol,,,,
"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,4.34 avg rating,https://www.goodreads.com/book/show/10664113-a-dance-with-dragons,,,,
The Reader,Bernhard Schlink,3.79 avg rating,https://www.goodreads.com/book/show/101299.The_Reader,,,,
"The Lost Symbol (Robert Langdon, #3)",Dan    Brown,3.76 avg rating,https://www.goodreads.com/book/show/6411961-the-lost-symbol,,,,
"The Wicked King (The Folk of the Air, #2)",Holly Black,4.27 avg rating,https://www.goodreads.com/book/show/26032887-the-wicked-king,,,,
The Collector,John Fowles,3.97 avg rating,https://www.goodreads.com/book/show/243705.The_Collector,,,,
Dubliners,James Joyce,3.84 avg rating,https://www.goodreads.com/book/show/11012.Dubliners,,,,
The Age of Innocence,Edith Wharton,3.97 avg rating,https://www.goodreads.com/book/show/53835.The_Age_of_Innocence,,,,
"Angels & Demons (Robert Langdon, #1)",Dan    Brown,3.95 avg rating,https://www.goodreads.com/book/show/960.Angels_Demons,,,,
The Republic,Plato,3.97 avg rating,https://www.goodreads.com/book/show/30289.The_Republic,,,,
"The Queen of Nothing (The Folk of the Air, #3)",Holly Black,4.34 avg rating,https://www.goodreads.com/book/show/26032912-the-queen-of-nothing,,,,
"The Bad Beginning (A Series of Unfortunate Events, #1)",Lemony Snicket,4.02 avg rating,https://www.goodreads.com/book/show/78411.The_Bad_Beginning,,,,
The Waste Land,T.S. Eliot,4.11 avg rating,https://www.goodreads.com/book/show/34080.The_Waste_Land,,,,
The Silent Patient,Alex Michaelides,4.17 avg rating,https://www.goodreads.com/book/show/40097951-the-silent-patient,,,,
"Voyager (Outlander, #3)",Diana Gabaldon,4.39 avg rating,https://www.goodreads.com/book/show/10987.Voyager,,,,
"Sheever's Journal, Diary of a Poison Master",K.  Ritz,4.29 avg rating,https://www.goodreads.com/book/show/52022378-sheever-s-journal-diary-of-a-poison-master,,,,
"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,4.27 avg rating,https://www.goodreads.com/book/show/3777732-city-of-glass,,,,
